   2080 1.0
    408 2.0
    288 3.0
      1 4
    213 4.0
     75 5.0
    159 6.0
     47 7.0
     47 8.0
     23 9.0
    191 10.0
    107 11.0
   1478 12.0
    776 13.0
     32 14.0
     39 15.0
     60 16.0
      7 17.0
     19 18.0
     10 19.0
     86 20.0
     25 21.0
     57 22.0
     41 23.0
    248 24.0
    197 25.0
    696 26.0
     20 27.0
     10 28.0
     14 29.0
     53 30.0
      9 31.0
     30 32.0
     16 33.0
     17 34.0
     18 35.0
     22 36.0
     17 37.0
     29 38.0
     92 39.0
     70 40.0
      9 41.0
     15 42.0
     19 43.0
     15 44.0
     20 45.0
     22 46.0
     31 47.0
     42 48.0
     33 49.0
    107 50.0
    121 51.0
    343 52.0
     15 53.0
     12 54.0
      5 55.0
      9 56.0
      1 57.0
      7 58.0
      6 59.0
     49 60.0
      9 61.0
      3 62.0
      7 63.0
     12 64.0
     12 65.0
      2 66.0
      4 67.0
      5 68.0
      2 69.0
      9 70.0
      3 71.0
      6 72.0
      6 73.0
      6 74.0
      8 75.0
      3 76.0
      8 77.0
     17 78.0
      3 79.0
      7 80.0
      3 83.0
      5 84.0
      4 86.0
      1 87.0
      4 88.0
      2 89.0
      2 90.0
      2 91.0
      2 92.0
      2 93.0
      4 94.0
      2 95.0
      9 96.0
      6 97.0
      2 99.0
     20 100.0
      5 101.0
      4 102.0
      6 103.0
     28 104.0
      4 105.0
      1 107.0
      7 108.0
      3 109.0
      2 110.0
      2 112.0
      1 113.0
      3 114.0
      3 115.0
      1 117.0
      2 119.0
      3 120.0
      2 124.0
      4 127.0
      1 128.0
      8 130.0
      1 131.0
      4 132.0
      2 135.0
      1 136.0
      1 137.0
      1 139.0
      1 140.0
      3 142.0
      2 143.0
      1 144.0
      1 145.0
      1 146.0
      2 147.0
      3 148.0
      1 149.0
      4 150.0
      2 151.0
      2 153.0
      2 154.0
      1 155.0
      9 156.0
      1 160.0
      1 161.0
      1 162.0
      2 163.0
      1 164.0
      1 167.0
      5 170.0
      1 172.0
      1 173.0
      2 175.0
      2 178.0
      3 180.0
      1 181.0
      2 182.0
      1 186.0
      1 191.0
      1 192.0
      1 193.0
      2 195.0
      1 199.0
      5 200.0
      1 201.0
      1 203.0
      2 208.0
      1 214.0
      2 220.0
      1 224.0
      1 225.0
      1 231.0
      1 240.0
      1 243.0
      1 245.0
      1 250.0
      1 258.0
      2 260.0
      1 263.0
      1 265.0
      1 276.0
      1 283.0
      1 291.0
      1 292.0
      2 296.0
      2 300.0
      1 302.0
      2 305.0
      2 312.0
      1 330.0
      1 331.0
      1 358.0
      6 365.0
      1 366.0
      1 373.0
      1 380.0
      1 400.0
      1 420.0
      2 431.0
      1 432.0
      1 480.0
      1 500.0
      1 510.0
      1 526.0
      1 530.0
      1 555.0
      1 694.0
      1 726.0
      1 744.0
      1 773.0
      1 800.0
