Name,Japanese_name,Type,Episodes,Release_season,Rating
Magic Knight Rayearth,,TV   ,49.0,, Adventure
Ayakashi: Japanese Classic Horror, Ayakashi: Samurai Horror Tales,TV   ,11.0,Winter, Horror
Utawarerumono OVA,,OVA  ,3.0,, Ecchi
Cardfight!! Vanguard G: Stride Gate, Cardfight!! Vanguard G: Stride Gate-hen,TV   ,24.0,Spring, Fantasy
Kuiba Zhi Shu Tu,,Web  ,7.0,, Fantasy
Hello Kitty Ringo no Mori no Fantasy,,TV   ,13.0,, Anthropomorphic
Transformers: War for Cybertron - Earthrise,,Web  ,6.0,Fall , Sci Fi
Hello Jadoo 2, Annyeong Jaduya 2,TV   ,30.0,, Slice of Life
Selection Project,,TV   ,13.0,Fall , Idols
Shin Shounan Bakusouzoku Arakure Knight,,OVA  ,2.0,, Delinquents
Shoujo Fight: Norainu-tachi no Odekake,,OVA  ,1.0,, Sports
Jyu-Oh-Sei, Planet of the Beast King,TV   ,11.0,Spring, Sci Fi
Genesis Climber Mospeada, Kikou Souseiki Mospeada,TV   ,25.0,, Mecha
Tales of Symphonia the Animation: Sylvarant Episode, Tales of Symphonia the Animation: Sylvarant-hen,OVA  ,4.0,, Adventure
Ba La La Xiao Mo Xian Zhi: Qiji Wubu, Balala the Fairies: Miracle Dance,TV   ,52.0,, Magical Girl
Ginga e Kickoff!!,,TV   ,39.0,Spring, Sports
Bakusou Kyoudai Let's & Go!! WGP,,TV   ,51.0,Winter, Cars
Tokyo Ghoul:re,,TV   ,12.0,Spring, Horror
Alice & Zouroku, Alice to Zouroku,TV   ,12.0,Spring, Seinen
Fushigi Yugi OVA: Dai Ni Bu,,OVA  ,6.0,, Romance
Armed Girl’s Machiavellism, Busou Shoujo Machiavellianism,TV   ,12.0,Spring, Ecchi
Reikenzan: Hoshikuzu-tachi no Utage,,TV   ,12.0,Winter, Comedy
Freezing,,TV   ,12.0,Winter, Ecchi
Yuuna and the Haunted Hot Springs, Yuragi-sou no Yuuna-san,TV   ,12.0,Summer, Harem
Yuuki Yuuna is a Hero: The Great Mankai Chapter, Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,TV   ,12.0,Fall , Drama
Love Hina,,TV   ,24.0,Spring, Ecchi
Cinderella Monogatari, Cinderella,TV   ,26.0,Spring, Romance
Cells at Work! Heat Stroke - Moshi Moshi Pocari Sweat ga Attara, Hataraku Saibou: Necchuushou - Moshi Moshi Pocari Sweat ga Attara,Web  ,1.0,Summer, Shounen
Da Capo II Second Season,,TV   ,13.0,Spring, Fantasy
Overlord Mask, Bawang Mianju,Web  ,3.0,, Drama
Gu-Gu Ganmo,,TV   ,50.0,, Shounen
Brotherhood: Final Fantasy XV,,Web  ,5.0,Spring, Adventure
Mahou Tsukai Pretty Cure!, Witchy Pretty Cure!,TV   ,50.0,Winter, Magical Girl
Inazuma Eleven GO,,TV   ,47.0,Spring, Family Friendly
Yomigaeru Sora -Rescue Wings-,,TV   ,12.0,Winter, Drama
OreShura, Ore no Kanojo to Osananajimi ga Shuraba Sugiru,TV   ,13.0,Winter, Harem
Kamichama Karin,,TV   ,26.0,Spring, Magical Girl
sola,,TV   ,13.0,Spring, Mystery
Tamayura: More Aggressive,,TV   ,12.0,Summer, Iyashikei
Mahou Tsukai Chappy, Chappy,TV   ,39.0,, Magical Girl
We Were There, Bokura ga Ita,TV   ,26.0,Summer, Romance
Yu-Gi-Oh! Duel Monsters,,TV   ,224.0,Spring, Shounen
Amanchu!,,TV   ,12.0,Summer, Slice of Life
Glass Mask, Glass no Kamen,TV   ,23.0,, Romance
Brighter than the Dawning Blue, Yoake Mae yori Ruriiro na: Crescent Love,TV   ,12.0,Fall , Fantasy
Gunslinger Girl: Il Teatrino OVA,,OVA  ,2.0,, Shounen
Neko no Niagho, Neko no Nyahho ~Nya Miseraburu~,TV   ,25.0,Spring, Animal Protagonists
Onegai! Samia Don,,TV   ,78.0,, Fantasy
Rozen Maiden Zurückspulen,,TV   ,13.0,Summer, Fantasy
Honoo no Toukyuuji: Dodge Danpei,,TV   ,47.0,, Shounen
Negima!?,,TV   ,26.0,Fall , Fantasy
Fushigiboshi no Futagohime,,TV   ,51.0,Spring, Fantasy
My Little Monster OVA, Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,OVA  ,1.0,, Romance
Porphy no Nagai Tabi, The Orphans of Simitra,TV   ,52.0,Winter, Earthquake
Black Rock Shooter OVA,,OVA  ,1.0,, Fantasy
Nanocore 2nd Season, Nami Hexin: Jueze Pian,Web  ,10.0,, Chinese Animation
Mama wa Poyopoyo-saurus ga Osuki, Mama Loves the Poyopoyo-saurus,TV   ,52.0,, Slice of Life
Dual! Parallel Trouble Adventures, Dual! Parare RunRun Monogatari,TV   ,13.0,Spring, Comedy
Moyashimon Returns,,TV   ,11.0,Summer, Seinen
Dance in the Vampire Bund,,TV   ,12.0,Winter, Ecchi
Mobile Suit Gundam: The 08th MS Team - A Battle With The Third Dimension, Gundam: The 08th MS Team - A Battle With The Third Dimension,OVA  ,1.0,, Mecha
Chihayafuru OVA,,OVA  ,1.0,, Romance
AOTU Shijie 2, AOTU Shijie Di Er Ji,Web  ,20.0,, Adventure
Pokopon no Satogaeri,,OVA  ,1.0,, Family Friendly
Seizei Gambare Mahou Shoujo Kurumi 3rd Season,,Web  ,25.0,Fall , Fantasy
Wu Shan Wu Xing (2016), Fog Hill of Five Elements (2016),Web  ,1.0,, Fantasy
Nanana's Buried Treasure, Ryuugajou Nanana no Maizoukin,TV   ,11.0,Spring, Comedy
Tenjho Tenge: Ultimate Fight,,OVA  ,2.0,, Ecchi
Dotanba no Manners,,TV   ,283.0,, Slice of Life
Ghost in the Shell: SAC_2045, Koukaku Kidoutai: SAC_2045,Web  ,12.0,Spring, Sci Fi
Nabari no Ou,,TV   ,26.0,Spring, Ninja
Mars Daybreak, Kenran Butou Sai: The Mars Daybreak,TV   ,26.0,Spring, Mecha
Kodomo no Jikan: Anata ga Watashi ni Kureta Mono, Kodomo no Jikan: What You Gave Me,OVA  ,1.0,, Ecchi
Hanayamata,,TV   ,12.0,Summer, Drama
A Certain Magical Index III, Toaru Majutsu no Index III,TV   ,26.0,Fall , Drama
Anata ga Furikaeru Toki,,OVA  ,1.0,, Shoujo
Bleach: The Sealed Sword Frenzy,,OVA  ,1.0,, Shounen
Giant Gorg, Kyoshin Gorg,TV   ,26.0,, Sci Fi
Tian Xin Ge Ge 2nd Season, Ori-Princess 2nd Season,TV   ,52.0,, Family Friendly"
Zhonghua Xiaozi, Shaolin Wuzang,TV   ,26.0,, Ancient China
Chou Kuse ni Narisou,,TV   ,39.0,, Shoujo
Reikenzan: Eichi e no Shikaku,,TV   ,12.0,Winter, Comedy
Yes! Pretty Cure 5,,TV   ,49.0,Winter, Magical Girl
Rockman.EXE Stream,,TV   ,51.0,Fall , Proxy Battles"
Hidamari Sketch,,TV   ,12.0,Winter, Seinen
Stop!! Hibari-kun!,,TV   ,35.0,, Shounen
Okawari-Boy Starzan-S,,TV   ,34.0,, Adventure
Marude Dameo,,TV   ,47.0,, Sci Fi
Zhan Long Si Qu, Go For Speed,TV   ,64.0,, Chinese Animation
Mysterious Girlfriend X, Nazo no Kanojo X,TV   ,13.0,Spring, Romance
Witch Craft Works,,TV   ,12.0,Winter, Comedy
Accel World OVA,,OVA  ,2.0,, Sci Fi
Shinkansen Henkei Robo Shinkalion The Animation Recap,,Web  ,1.0,Summer, Mecha
Yes! Pretty Cure 5 GoGo!,,TV   ,48.0,Winter, Magical Girl
Saber Marionette J to X,,TV   ,26.0,Fall , Comedy
Mythical Detective Loki Ragnarok, Matantei Loki Ragnarok,TV   ,26.0,Spring, Detectives
Katayoku no Khronos Gear,,OVA  ,1.0,,3.61
Seton Academy: Join the Pack!, Murenase! Seton Gakuen,TV   ,12.0,Winter, Animal Characteristics
Gakusaver, Ryuuseiki Gakusaver,OVA  ,6.0,, Mecha
Hua Jianghu Zhi Lingzhu,,Web  ,41.0,, Chinese Animation
Strawberry Panic,,TV   ,26.0,Spring, Romance
Symphonic Poem: Jungle Emperor Leo, Anime Koukyoushi: Jungle Taitei,OVA  ,1.0,, Animal Protagonists
Pikaia!!,,TV   ,13.0,Winter, Educational
Domestic Girlfriend, Domestic na Kanojo,TV   ,12.0,Winter, Romance
Sexy Commando Gaiden Sugoiyo!! Masaru-san,,TV   ,48.0,Winter, Shounen
Sketchbook ~full color's~,,TV   ,13.0,Fall , Shounen
Mushibugyou,,TV   ,26.0,Spring, Shounen
Aikatsu Friends! Kagayaki no Jewel,,TV   ,26.0,Spring, Music
Gun x Sword,,TV   ,26.0,Summer, Adventure
Haganai: I Don't Have Many Friends - A Round-Robin Story's Ending Is Way Extreme, Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,OVA  ,1.0,, School Club
The Mystic Archives of Dantalian, Dantalian no Shoka,TV   ,12.0,Summer, Fantasy
Hyperdimension Neptunia: The Eternity (True Ending) Promised, Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,OVA  ,1.0,, Fantasy
Kiki to Lala no Hoshi no Dance Shoes,,OVA  ,1.0,, Family Friendly
Armor Hunter Mellowlink, Kikou Ryouhei Mellowlink,OVA  ,12.0,, Sci Fi
Dragon Ball: Plan to Destroy the Saiyajin, Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,OVA  ,1.0,, Fantasy
Quanzhi Fashi II, Versatile Mage II,Web  ,12.0,, Fantasy
Chibi Maruko-chan: Hi no Youjin,,OVA  ,1.0,, Educational
Kodomo no Jikan: Kodomo no Natsu Jikan, Kodomo no Jikan: A Child`s Summer Time,OVA  ,1.0,, Ecchi
Buddy Complex,,TV   ,13.0,Winter, Drama
Donguri to Yamaneko,,OVA  ,1.0,,3.61
X TV,,TV   ,24.0,Fall , Mystery
Bottom-tier Character Tomozaki, Jaku-Chara Tomozaki-kun,TV   ,12.0,Winter, Drama
Kurokami The Animation,,TV   ,23.0,Winter, Fantasy
Beyblade: Burst Chouzetsu, Beyblade: Burst Turbo,TV   ,51.0,Spring, Shounen
Baby I Love You Daze,,Web  ,1.0,, Slice of Life
Qin Shi Mingyue: Yi Zhe Ru Shi,,Web  ,1.0,, Ancient China
Kiss x Sis,,OVA  ,12.0,, Ecchi
Fuyu no Semi, Embracing Love: A Cicada in Winter,OVA  ,3.0,, Drama
The Ones Within: Knots of Memories, Naka no Hito Genome [Jikkyouchuu] Special,OVA  ,1.0,, High Stakes Games
Gunsmith Cats,,OVA  ,3.0,, Seinen
When Supernatural Battles Became Commonplace, Inou Battle wa Nichijou-kei no Naka de,TV   ,12.0,Fall , Harem
Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season, Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,TV   ,12.0,Summer, Comedy
Qin Shi Mingyue: Ye Jin Tianming,,TV   ,18.0,, Ancient China
Heisei Policemen!!,,Web  ,6.0,, Police"
Pretear, Shin Shirayukihime Densetsu Pretear,TV   ,13.0,Spring, Magical Girl
Natsuyuki Rendezvous,,TV   ,11.0,Summer, Josei
Kiko-chan Smile,,TV   ,51.0,, Josei
Bakugan: Battle Planet Short Anime, Bakugan: Beyond the Brawl,Web  ,50.0,Winter, Comedy
Kamichu!,,TV   ,12.0,Summer, Romance
Xin Jue,,Web  ,13.0,, Chinese Animation
I'm Standing on a Million Lives 2nd Season, 100-man no Inochi no Ue ni Ore wa Tatte Iru 2nd Season,TV   ,12.0,Summer, Adventure
Folktales from Japan 2nd Season, Furusato Meguri: Nippon no Mukashibanashi,TV   ,50.0,Spring, Drama
Kyou no 5 no 2,,OVA  ,4.0,, Seinen
Pumpkin Scissors,,TV   ,24.0,Fall , Drama
Witchblade,,TV   ,24.0,Spring, Sci Fi
Aikatsu Friends!,,TV   ,50.0,Spring, Music
Young Black Jack,,TV   ,12.0,Fall , Seinen
Seimei no Kagaku: Micro Patrol, Once Upon a Time... Life,TV   ,26.0,, Educational"
Nezumi-kun no Kimochi,,Web  ,1.0,, Non-Human Protagonists
Juupiki no Kaeru,,OVA  ,2.0,, Animal Protagonists
Hua Jianghu Zhi Buliang Ren II,,Web  ,40.0,, Ancient China
Flag Director's Edition: Issenman no Kufura no Kiroku,,OVA  ,1.0,, Mecha
Witch Hunter Robin,,TV   ,26.0,Summer, Noir
Tianxin Gege, Ori-Princess,TV   ,52.0,, Family Friendly"
Inazuma Eleven GO: Galaxy,,TV   ,43.0,Spring, Family Friendly
In Another World With My Smartphone, Isekai wa Smartphone to Tomo ni,TV   ,12.0,Summer, Comedy
The Great Jahy Will Not Be Defeated!, Jahy-sama wa Kujikenai!,TV   ,20.0,Summer, Comedy
Xiao Hua Xian,,TV   ,52.0,, Family Friendly
Joker Game,,TV   ,12.0,Spring, Espionage
Just Because!,,TV   ,12.0,Fall , Romance
Tokyo Marble Chocolate,,OVA  ,2.0,, Romance
Zoids: Genesis,,TV   ,50.0,Spring, Mecha"
Maria Watches Over Us, Maria-sama ga Miteru,TV   ,13.0,Winter, GL
Pani Poni Dash!,,TV   ,26.0,Summer, Shounen
Midori no Makibaoh,,TV   ,61.0,Winter, Shounen
KINMOZA!, Kiniro Mosaic,TV   ,12.0,Summer, Seinen
Polyphonica: Crimson S, Shinkyoku Soukai Polyphonica Crimson S,TV   ,12.0,Spring, Romance
A Sister's All You Need, Imouto sae Ireba Ii.,TV   ,12.0,Fall , Ecchi
Sore Ike! Anpanman: Otanjoubi Series,,OVA  ,12.0,, Fantasy
Queen Emeraldas,,OVA  ,4.0,, Leijiverse
Devil May Cry,,TV   ,12.0,Summer, Horror
Tsuide ni Tonchinkan,,Web  ,43.0,, Based on a Manga"
Rainbow Across the Pacific, Taiheiyou ni Kakeru Niji,OVA  ,1.0,, Family Friendly"
Mainichi Kaasan, Kaasan - Mom's Life,TV   ,142.0,Spring, Slice of Life
Croisee in a Foreign Labyrinth: Concert," Ikoku Meiro no Croisee: Ongakkai ""Recital""",Web  ,1.0,Summer, 19th Century
Idoly Pride,,TV   ,12.0,Winter, Music
Wangu Xian Qiong, Everlasting Immortal Firmament,Web  ,12.0,, Chinese Animation
Youkai Watch: Shadow Side,,TV   ,49.0,Spring, Supernatural
Shiawase no Katachi,,OVA  ,4.0,, Chibi
Tsugu Tsugumomo Mini Anime,,Web  ,67.0,, Short Episodes"
Pokemon,,TV   ,276.0,Spring, Fantasy
Basquash!,,TV   ,26.0,Spring, Mecha
Jinzou Konchuu Kabutoborg VxV,,TV   ,52.0,Fall , Shounen
Fushigiboshi no Futagohime Gyu!,,TV   ,52.0,Spring, Fantasy
Fox Spirit Matchmaker Season 11, Huyao Xiao Hongniang: Liang Shenghua,Web  ,12.0,, Fantasy
Cheeky Angel, Tenshi na Konamaiki,TV   ,50.0,Spring, Reverse Harem
The [email protected]: Cinderella Girls Theater Extra Stage, The,Web  ,48.0,Winter, Chibi
Oban Star-Racers,,TV   ,26.0,Spring, Adventure
Go! Saitama,,Web  ,1.0,Summer, Seinen
Romance of the Three Kingdoms (2010), Saikyou Bushou-den Sangoku Engi,TV   ,52.0,Spring, Adventure
Gatchaman Crowds Insight,,TV   ,12.0,Summer, Sci Fi
Daisuki! BuBu ChaCha,,TV   ,26.0,Spring, Fantasy
Cat Shit One,,Web  ,1.0,Summer, Seinen
Rumiko Takahashi Anthology,,TV   ,13.0,Summer, Drama
Immemorial Love For You, Ai Zai Xiyuan Qian,Web  ,12.0,, Based on a Song
Please Twins: The Summer Never Ends, Onegai Twins: Natsu wa Owaranai,OVA  ,1.0,, Ecchi
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata, Nyarko-san: Another Crawling Chaos - Yasashii Teki no Shitome-kata,OVA  ,1.0,, Magical Girl
Inko Colors 2,,Web  ,1.0,, Birds
Show By Rock!! Stars!!,,TV   ,12.0,Winter, Music
Battle Angel Alita, Gunnm,OVA  ,2.0,, Seinen
Yuyushiki,,TV   ,12.0,Spring, Seinen
Excel Saga, Heppoko Jikken Animation Excel Saga,TV   ,25.0,Fall , Comedy
Inukami!,,TV   ,26.0,Spring, Ecchi
Cardfight!! Vanguard G: GIRS Crisis, Cardfight!! Vanguard G: Gears Crisis-hen,TV   ,26.0,Fall , Fantasy
Wojia Da Shixiong Naozi You Keng Specials,,Web  ,52.0,, Fantasy
Xiong Bing Lian, Transcend the Gods,Web  ,33.0,, Fantasy
Yong Zhe Da Mao Xian, Brave Adventure,Web  ,26.0,, Fantasy
High School Mystery: Gakuen Nanafushigi, School of 7 Wonders,TV   ,41.0,, School Life
Lunar Legend Tsukihime, Shingetsutan Tsukihime,TV   ,12.0,Fall , Fantasy
Detective Conan: The Internet - The Mysterious E-mail Case, Meitantei Conan: Internet Nazo no Mail Jiken,OVA  ,1.0,,3.6
Ginga Hyouryuu Vifam, Round Vernian Vifam,TV   ,46.0,, Adventure
number24,,TV   ,12.0,Winter, College
The Pilot's Love Song, Toaru Hikuushi e no Koiuta,TV   ,13.0,Winter, Fantasy
BuBu ChaCha, Norimono Oukoku BuBu ChaCha,TV   ,26.0,Spring, Fantasy
Tokimeki Memorial: Only Love,,TV   ,25.0,Fall , Romance
Shengshi Zhuang Niang, The Beauty Blogger,Web  ,20.0,, Chinese Animation
Jibaku-kun: Twelve World Story, Bucky: The Incredible Kid,TV   ,26.0,Fall , Comedy
Peace Maker Kurogane,,TV   ,24.0,Fall , 19th Century
Stratos 4 Advance: Kanketsu-hen, Stratos 4 Advance: Final,OVA  ,2.0,, Aviation
Room Camp, Heya Camp,TV   ,12.0,Winter, Seinen
ACCA: 13-Territory Inspection Dept. - Regards, ACCA: 13-ku Kansatsu-ka - Regards,OVA  ,1.0,, Seinen
Infinite Ryvius, Mugen no Ryvius,TV   ,26.0,Fall , Sci Fi
Hidamari no Ki,,TV   ,25.0,Spring, 19th Century
Kira Kira Happy Hirake! Cocotama,,TV   ,55.0,Summer, Family Friendly"
Thundercats,,TV   ,26.0,, Adventure
Neo Angelique Abyss: Second Age,,TV   ,13.0,Summer, Reverse Harem
Kirarin Revolution,,TV   ,153.0,Spring, Romance
Paulette's Chair, Poulette no Isu,Web  ,1.0,, Coming of Age
Qin Shi Mingyue Tebie Pian: Dizi Jiang Xi,,Web  ,1.0,, Ancient China
Gatchaman Crowds,,TV   ,12.0,Summer, Sci Fi
Tian Yu 2: Cang Gu Zhi Ban,,Web  ,13.0,, Fantasy
Suite Pretty Cure♪,,TV   ,48.0,Winter, Magical Girl
Nu Sheng Su She Ri Chang,,TV   ,12.0,, Slice of Life
Anime Tengu no Kakuresato,,OVA  ,1.0,, Family Friendly"
A Little Princess Sara, Shoukoujo Sara,TV   ,46.0,, 19th Century
Engaged to the Unidentified OVA, Mikakunin de Shinkoukei OVA,OVA  ,1.0,, Seinen
Bouken Yuuki Pluster World,,TV   ,52.0,Spring, Adventure
Hoshi no Shima no Nyanko,,TV   ,26.0,Fall , Animal Protagonists
Clean Freak! Aoyama-kun, Keppeki Danshi! Aoyama-kun,TV   ,12.0,Summer, Seinen
Tonari no Tokoro,,OVA  ,1.0,,3.59
Saiyuki Interactive, Gensou Maden Saiyuuki: Kibou no Zaika,OVA  ,1.0,, Journey to the West
The Ones Within, Naka no Hito Genome [Jikkyouchuu],TV   ,12.0,Summer, Drama
Artiswitch,,Web  ,6.0,Spring, Magic
Rune Soldier, Mahou Senshi Louie,TV   ,24.0,Spring, Comedy
Battle Game in 5 Seconds, Deatte 5 Byou de Battle,TV   ,12.0,Summer, High Stakes Games
Nobody's Boy Remi, Ie Naki Ko,TV   ,51.0,, Drama
Idol Time PriPara,,TV   ,51.0,Spring, Boarding School
Dream Eater Merry, Yumekui Merry,TV   ,13.0,Winter, Seinen
Wo Jiao Bai Xiaofei, I am Bai Xiaofei,Web  ,39.0,, Horror
The Testament of Sister New Devil, Shinmai Maou no Testament,TV   ,12.0,Winter, Comedy
Aria the Scarlet Ammo, Hidan no Aria,TV   ,12.0,Spring, Seinen
Macross Delta,,TV   ,26.0,Spring, Mecha
Bakukyuu Renpatsu! Super B-Daman,,TV   ,18.0,Winter, Fantasy
Yamada's First Time: B Gata H Kei,,TV   ,12.0,Spring, Ecchi
"Ginga Hyouryuu Vifam: ""Keito no Kioku"" Namida no Dakkai Sakusen!!"," Round Vernian Vifam: ""Keito no Kioku"" Namida no Dakkai Sakusen!!",OVA  ,1.0,, Sci Fi
Nenbutsu Monogatari,,OVA  ,7.0,, Historical
Ristorante Paradiso,,TV   ,11.0,Spring, Romance
D.N.Angel,,TV   ,26.0,Spring, Romance
Ginga Densetsu Weed,,TV   ,26.0,Fall , Adventure
Dantalian no Shoka: Ibarahime, The Mystic Archives of Dantalian: Ibarahime,OVA  ,1.0,, Adventure
Gunslinger Girl: Il Teatrino,,TV   ,13.0,Winter, Sci Fi
Princess Lover!,,TV   ,12.0,Summer, Harem
The Dog of Flanders, Flanders no Inu,TV   ,52.0,, 19th Century
Deadman Wonderland: The Red Knife Wielder, Deadman Wonderland: Akai Naifu Tsukai,OVA  ,1.0,, Police
Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman,,OVA  ,3.0,, Adventure
Fox Wood Monogatari, Fox Wood Tales,OVA  ,3.0,, Animal Protagonists
Infinite Stratos Encore: A Sextet Yearns to Be in Love, Infinite Stratos Encore: Koi ni Kogareru Rokujuusou,OVA  ,1.0,, Ecchi
Nintama Rantarou,,TV   ,220.0,, Adventure
Oshiete Hokusai! The Animation,,Web  ,10.0,Winter, Art
Allison and Lillia, Allison to Lillia,TV   ,26.0,Spring, Military
Attack on Titan: Junior High, Shingeki! Kyojin Chuugakkou,TV   ,12.0,Fall , Fantasy
Heavy Object,,TV   ,24.0,Fall , Sci Fi
Oyo Neko Bunyan,,TV   ,31.0,, Animal Protagonists
Tokyo Majin, Tokyo Majin Gakuen Kenpuchou Tou,TV   ,14.0,Winter, Horror
Damekko Doubutsu,,TV   ,26.0,Winter, Fantasy
Flowering Heart,,TV   ,26.0,, Magical Girl
Cooking Papa,,TV   ,151.0,, Slice of Life
Ai Yori Aoshi,,TV   ,24.0,Spring, Harem
Hyakko,,TV   ,13.0,Fall , Shounen
Aoki Densetsu Shoot!, Blue Legend Shoot!,TV   ,58.0,, Shounen
Plastic Nee-san, +Tic Elder Sister,Web  ,12.0,Spring, Seinen
Mashiroiro Symphony: The Color of Lovers,,TV   ,12.0,Fall , Harem
Cardfight!! Vanguard (2018),,TV   ,52.0,Spring, Fantasy
Future GPX Cyber Formula, Shin Seiki GPX Cyber Formula,TV   ,37.0,, Sports
Magical Shopping Arcade Abenobashi, Abenobashi Mahou Shoutengai,TV   ,13.0,Spring, Fantasy
Oni no Hanayome wa Taberaretai,,Web  ,2.0,, Romance
My Next Life as a Villainess: All Routes Lead to Doom! OVA, Otome Game no Hametsu Flag Shika Nai Akuyaku Reijou ni Tensei Shiteshimatta... OVA,OVA  ,1.0,, Fantasy
Needless,,TV   ,24.0,Summer, Ecchi
Baribari Densetsu (1986),,OVA  ,2.0,, Shounen
Ninja Girl & Samurai Master 2nd Season, Nobunaga no Shinobi: Ise Kanegasaki-hen,TV   ,26.0,Spring, Comedy
Ginga Hyouryuu Vifam: Kieta 12-nin, Round Vernian Vifam: Kieta 12-nin,OVA  ,1.0,, Sci Fi
H2,,TV   ,41.0,Spring, Shounen
Negima!? Natsu Special!?, Negima!? Magister Negi Magi: Summer,OVA  ,1.0,, Ecchi
Pokemon Sun & Moon,,TV   ,146.0,Fall , Shounen
Re:ZERO -Starting Break Time From Zero- 2nd Season, Re:Zero Kara Hajimeru Break Time 2nd Season,Web  ,25.0,Summer, Fantasy
Meow Meow Japanese History 4th Season, Neko Neko Nihonshi 4th Season,TV   ,32.0,Spring, Animal Protagonists
Hitori no Shita: The Outcast - Fanwai Pian,,Web  ,2.0,, Chinese Animation
Kokkoku: Moment by Moment,,TV   ,12.0,Winter, Mystery
Gamers!,,TV   ,12.0,Summer, Romance
Mekakucity Actors,,TV   ,12.0,Spring, Comedy
Denki-Gai, Denki-Gai no Honya-san,TV   ,12.0,Fall , Seinen
Ayatsuri Sakon, Karakuri Zoushi Ayatsuri Sakon,TV   ,26.0,Fall , Shounen
Drifting Dragons, Kuutei Dragons,Web  ,12.0,Winter, Fantasy
Danball Senki Wars,,TV   ,37.0,Spring, Mecha
Kamisama Kazoku,,TV   ,13.0,Spring, Fantasy
Mix Master: King of Cards, Card Wang: Mix Master,TV   ,39.0,Fall , Comedy
Saber Marionette J Again,,OVA  ,6.0,, Comedy
Daddy Long Legs, Watashi no Ashinaga Ojisan,TV   ,40.0,, America
Aquarion Evol,,TV   ,26.0,Winter, Comedy
Potemayo,,TV   ,12.0,Summer, Seinen
Black Jack,,TV   ,61.0,Fall , Shounen
OL Kaizou Kouza,,OVA  ,1.0,, Slice of Life"
Kurau: Phantom Memory,,TV   ,24.0,Summer, Sci Fi
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?, Psychic Squad OVA: Aitazousei! Ubawareta Mirai?,OVA  ,1.0,, Fantasy
Shin Choubakumatsu Shounen Seiki Takamaru,,OVA  ,6.0,, Comedy
Zhan Shou Zhi Ren, Blade of Vengers,Web  ,9.0,, Fantasy
Muteki Koujin Daitarn 3, Invincible Steel Man Daitarn 3,TV   ,40.0,, Mecha
The Himalayan Kingdom of Light, Himalaya no Hikari no Oukoku,OVA  ,1.0,, Fantasy
Saber Marionette J,,TV   ,25.0,, Comedy
Shaonian Jinyiwei, The Young Imperial Guards,Web  ,13.0,, Adventure
Princess Princess,,TV   ,12.0,Spring, Shoujo
Mamoru-kun ni Megami no Shukufuku wo!, Venus to Mamoru!,TV   ,24.0,Fall , Ecchi
Genki! Genki! Nontan: Spoon Tan Tan Tan,,OVA  ,1.0,, Cats
Manga Doushite Monogatari OVA,,OVA  ,2.0,, Family Friendly
Genki! Genki! Nontan: Spoon Tan Tan Tan,,OVA  ,1.0,, Cats
Record of Lodoss War: Chronicles of the Heroic Knight, Lodoss-tou Senki: Eiyuu Kishi Den,TV   ,27.0,Spring, Adventure
STARMYU OVA,,OVA  ,2.0,, Music School
Gingitsune: Messenger Fox of the Gods,,TV   ,12.0,Fall , Slice of Life
Midnight occult civil servants, Mayonaka no Occult Koumuin,TV   ,12.0,Spring, Mystery
Majestic Prince, Ginga Kikoutai Majestic Prince,TV   ,24.0,Spring, Drama
Cooking with Valkyries Spring Festival Special, Nu Wushen de Canzhuo Xinchun Special,Web  ,1.0,, Chinese Animation
Karl to Fushigi na Tou, Karl and Curious Tower,TV   ,26.0,Fall , Animal Protagonists
Sekishoku Elegy, Red Colored Elegy,OVA  ,1.0,, Ga-nime
Shin Dokonjou Gaeru,,TV   ,30.0,, Shounen
Tetsujin 28-gou (2004), Gigantor (2004),TV   ,26.0,Spring, Mecha
Orenchi no Furo Jijou,,TV   ,13.0,Fall , Josei
Planet With,,TV   ,12.0,Summer, Mecha
Negima!? Haru Special!?, Negima!? Magister Negi Magi: Spring,OVA  ,1.0,, Ecchi
Mar, Marchen Awakens Romance,TV   ,102.0,Spring, Adventure
UFO Robo Grendizer,,TV   ,74.0,, Mecha
Hime-chan no Ribbon, Hime-chan's Ribbon,TV   ,61.0,, Magical Girl
Perrine Monogatari, Story of Perrine,TV   ,53.0,, 19th Century
Casshern Sins,,TV   ,24.0,Fall , Sci Fi
Haiyore! Nyaruko-san, Nyarko-san: Another Crawling Chaos,TV   ,12.0,Spring, Comedy
Tales of HR,,Web  ,12.0,Spring, Chibi
Those Who Hunt Elves II, Elf wo Karu Mono-tachi II,TV   ,12.0,Fall , Adventure
CB Chara Go Nagai World, Go Nagai World,OVA  ,3.0,, Mecha
Atashinchi,,TV   ,330.0,Spring, Slice of Life
Bucchigiri,,OVA  ,4.0,, Sports
